example_id,transaction_id,target_timestamp,y_true,risk_score,split,fraud_type,hard_negative_type
EX_000000001,TX_000010080,2025-01-20T09:19:15,0,0.13987566428140144,train,legitimate,none
EX_000000002,TX_000010554,2025-01-21T02:59:06,0,0.00011146988594737032,train,legitimate,none
EX_000000003,TX_000013187,2025-01-25T19:16:23,0,6.9188415892716059e-06,train,legitimate,none
EX_000000004,TX_000013756,2025-01-26T21:43:47,0,0.00050545716617194194,train,legitimate,none
EX_000000005,TX_000019772,2025-02-07T13:21:51,0,0.00023161991908934409,train,legitimate,none
EX_000000006,TX_000020581,2025-02-08T23:17:00,0,0.0033638246525565718,train,legitimate,none
EX_000000007,TX_000021867,2025-02-11T12:28:08,0,8.4669864543002575e-05,train,legitimate,none
EX_000000008,TX_000025366,2025-02-17T16:24:03,0,2.8408929738445655e-05,train,legitimate,none
EX_000000009,TX_000026252,2025-02-19T11:36:26,0,7.0000669668495157e-05,train,legitimate,none
EX_000000010,TX_000029382,2025-02-25T12:15:20,0,0.00043711622361162952,train,legitimate,none
EX_000000011,TX_000031079,2025-02-28T12:33:22,0,7.2836337364732821e-05,train,legitimate,none
EX_000000012,TX_000033910,2025-03-05T16:18:22,0,8.9246425769619233e-05,train,legitimate,none
EX_000000013,TX_000036042,2025-03-09T16:59:51,0,0.0091765049074668328,train,legitimate,none
EX_000000014,TX_000050201,2025-04-05T13:21:17,0,0.010712322479012694,train,legitimate,none
EX_000000015,TX_000050784,2025-04-06T15:21:03,0,0.0010853326636807593,train,legitimate,none
EX_000000016,TX_000053989,2025-04-12T15:00:05,0,2.2427572211022489e-05,train,legitimate,none
EX_000000017,TX_000056410,2025-04-17T03:03:36,0,0.00094666855370502444,train,legitimate,none
EX_000000018,TX_000060380,2025-04-24T16:01:42,0,0.0001052156588377567,train,legitimate,none
EX_000000019,TX_000060528,2025-04-24T20:15:50,0,0.011525065978003724,train,legitimate,none
EX_000000028,TX_000001076,2025-01-03T09:23:49,0,0.011524531247294283,train,legitimate,none
EX_000000029,TX_000001729,2025-01-04T13:11:12,0,4.1108884582634315e-05,train,legitimate,none
EX_000000030,TX_000004364,2025-01-09T12:21:00,0,2.7082784315554251e-05,train,legitimate,none
EX_000000031,TX_000005231,2025-01-10T22:17:14,0,4.4468561988011271e-05,train,legitimate,none
EX_000000032,TX_000008795,2025-01-17T18:19:10,0,2.9884040002482735e-05,train,legitimate,none
EX_000000033,TX_000021242,2025-02-10T10:31:26,0,5.2537664273060144e-05,train,legitimate,none
EX_000000034,TX_000022755,2025-02-12T20:14:32,0,9.4557539554940571e-05,train,legitimate,none
EX_000000035,TX_000023330,2025-02-13T19:49:10,0,0.00034021426776835597,train,legitimate,none
EX_000000036,TX_000023615,2025-02-14T13:33:25,0,0.001177375186274284,train,legitimate,none
EX_000000037,TX_000026716,2025-02-20T11:32:47,0,1.2015079700053167e-05,train,legitimate,none
EX_000000038,TX_000027047,2025-02-20T20:21:22,0,0.0013104073890320797,train,legitimate,none
EX_000000039,TX_000027829,2025-02-22T12:11:00,0,0.0025286050970363821,train,legitimate,none
EX_000000040,TX_000028721,2025-02-24T05:54:45,0,0.00010328105594703667,train,legitimate,none
EX_000000041,TX_000030533,2025-02-27T13:57:02,0,0.00015434883512379966,train,legitimate,none
EX_000000042,TX_000037352,2025-03-11T23:59:59,0,0.00038865163128306033,train,legitimate,none
EX_000000043,TX_000037513,2025-03-12T13:06:55,0,0.00022424792873589647,train,legitimate,none
EX_000000044,TX_000038896,2025-03-14T21:52:49,0,5.3632624636185513e-05,train,legitimate,none
EX_000000045,TX_000043056,2025-03-22T18:04:00,0,6.9189951668829303e-05,train,legitimate,none
EX_000000046,TX_000045164,2025-03-26T19:43:58,0,0.0001254991454552068,train,legitimate,none
EX_000000047,TX_000045278,2025-03-27T02:18:17,0,3.5802505555047912e-05,train,legitimate,none
EX_000000048,TX_000045422,2025-03-27T12:36:40,0,5.0242213100712211e-05,train,legitimate,none
EX_000000049,TX_000046867,2025-03-30T00:51:02,0,6.0112728009312254e-05,train,legitimate,none
EX_000000050,TX_000047330,2025-03-30T21:20:29,0,4.7733374635807909e-05,train,legitimate,none
EX_000000051,TX_000051259,2025-04-07T13:26:06,0,9.8194199587274973e-05,train,legitimate,none
EX_000000052,TX_000052867,2025-04-10T13:38:24,0,3.0898091679315819e-05,train,legitimate,none
EX_000000053,TX_000054697,2025-04-13T19:47:46,0,2.5628461090281651e-05,train,legitimate,none
EX_000000054,TX_000056023,2025-04-16T12:35:43,0,0.00081369357006381862,train,legitimate,none
EX_000000055,TX_000057752,2025-04-19T15:48:02,0,0.0070154497153117144,train,legitimate,none
EX_000000056,TX_000060972,2025-04-25T17:53:45,0,2.9282027131741825e-05,train,legitimate,none
EX_000000057,TX_000063961,2025-05-01T12:58:10,0,3.7186404002262355e-05,train,legitimate,none
EX_000000058,TX_000065317,2025-05-03T20:22:07,0,0.00052934119429831313,train,legitimate,none
EX_000000059,TX_000066530,2025-05-06T09:40:47,0,7.1751014934011599e-05,train,legitimate,none
EX_000000078,TX_000002169,2025-01-05T10:03:27,0,0.00019448167052244679,train,legitimate,none
EX_000000079,TX_000006352,2025-01-13T07:21:44,0,0.00029689132483342277,train,legitimate,none
EX_000000080,TX_000007440,2025-01-15T11:37:33,0,0.00013535214707392085,train,legitimate,none
EX_000000081,TX_000011540,2025-01-22T19:22:10,0,1.219009869411724e-05,train,legitimate,none
EX_000000082,TX_000012847,2025-01-25T11:01:15,0,2.9459270236217728e-05,train,legitimate,none
EX_000000083,TX_000015611,2025-01-30T15:17:29,0,0.0011284707550173398,train,legitimate,none
EX_000000084,TX_000022908,2025-02-13T07:52:06,0,0.00012878399374903775,train,legitimate,none
EX_000000085,TX_000034000,2025-03-05T18:16:07,0,0.0012792235364117532,train,legitimate,none
EX_000000086,TX_000036625,2025-03-10T18:07:16,0,0.00013269465968141357,train,legitimate,none
EX_000000087,TX_000049099,2025-04-03T11:14:47,0,0.019618113319016185,train,legitimate,none
EX_000000088,TX_000050229,2025-04-05T14:14:37,0,6.8201686888756099e-05,train,legitimate,none
EX_000000089,TX_000052994,2025-04-10T17:02:59,0,2.859847334839361e-05,train,legitimate,none
EX_000000090,TX_000055005,2025-04-14T12:59:05,0,0.0002083609871885819,train,legitimate,none
EX_000000091,TX_000059665,2025-04-23T10:38:27,0,0.0061340786825816226,train,legitimate,none
EX_000000092,TX_000064552,2025-05-02T14:16:06,0,0.13824077484224476,train,legitimate,none
EX_000000093,TX_000065943,2025-05-05T06:22:58,0,0.0012493057603151789,train,legitimate,none
EX_000000104,TX_000003298,2025-01-07T11:38:09,0,5.0781728919830183e-05,train,legitimate,none
EX_000000105,TX_000005263,2025-01-11T00:27:45,0,0.0010944183347873328,train,legitimate,none
EX_000000106,TX_000018519,2025-02-05T01:41:35,0,0.31885995898866665,train,legitimate,none
EX_000000107,TX_000019339,2025-02-06T15:26:40,0,3.717635579771901e-05,train,legitimate,none
EX_000000108,TX_000029665,2025-02-25T19:09:15,0,0.30320172362182174,train,legitimate,legitimate_micro_purchases
EX_000000109,TX_000029667,2025-02-25T19:15:15,0,0.00031535331542578417,train,legitimate,legitimate_micro_purchases
EX_000000110,TX_000029672,2025-02-25T19:21:15,0,0.00055826623135868403,train,legitimate,legitimate_micro_purchases
EX_000000111,TX_000029673,2025-02-25T19:24:15,0,0.071675390696124011,train,legitimate,legitimate_micro_purchases
EX_000000112,TX_000029674,2025-02-25T19:25:15,0,0.037889560922979258,train,legitimate,legitimate_micro_purchases
EX_000000113,TX_000029679,2025-02-25T19:33:15,0,0.11988735078480457,train,legitimate,legitimate_micro_purchases
EX_000000114,TX_000030321,2025-02-27T01:02:53,0,8.7957600811755895e-05,train,legitimate,none
EX_000000115,TX_000030875,2025-02-27T22:11:21,0,0.0050503917881603482,train,legitimate,none
EX_000000116,TX_000034884,2025-03-07T14:02:33,0,0.00010568137487302853,train,legitimate,none
EX_000000117,TX_000039591,2025-03-16T11:02:25,0,6.2298854483173256e-05,train,legitimate,none
EX_000000118,TX_000043922,2025-03-24T13:45:46,0,4.3083360360884864e-05,train,legitimate,none
EX_000000119,TX_000046579,2025-03-29T15:11:22,0,0.00017742912795014906,train,legitimate,none
EX_000000120,TX_000052878,2025-04-10T13:52:36,0,0.00042704825672701321,train,legitimate,none
EX_000000121,TX_000058368,2025-04-20T18:50:08,0,3.8692824181839585e-05,train,legitimate,none
EX_000000122,TX_000062661,2025-04-28T21:17:27,0,2.8245989882387537e-05,train,legitimate,none
EX_000000123,TX_000062982,2025-04-29T14:41:53,0,0.0001906391459260102,train,legitimate,none
EX_000000129,TX_000001171,2025-01-03T12:48:00,0,0.0032517875169067443,train,legitimate,none
EX_000000130,TX_000001301,2025-01-03T15:56:38,0,9.2752423555250818e-06,train,legitimate,none
EX_000000131,TX_000002218,2025-01-05T11:44:27,0,6.430296816092305e-05,train,legitimate,none
EX_000000132,TX_000004433,2025-01-09T14:20:36,0,5.5789395066201477e-05,train,legitimate,none
EX_000000133,TX_000007020,2025-01-14T14:16:12,0,0.00011030582460401038,train,legitimate,legitimate_shopping_spree
EX_000000134,TX_000007046,2025-01-14T14:45:12,0,1.3854281339536999e-05,train,legitimate,legitimate_shopping_spree
EX_000000135,TX_000007053,2025-01-14T14:55:12,0,0.0023560226176166667,train,legitimate,legitimate_shopping_spree
EX_000000136,TX_000007055,2025-01-14T14:56:12,0,0.0001492809918869925,train,legitimate,legitimate_shopping_spree
EX_000000137,TX_000007069,2025-01-14T15:16:12,0,0.35570285954043818,train,legitimate,legitimate_shopping_spree
EX_000000138,TX_000009490,2025-01-19T01:14:08,0,1.0481989021652626e-05,train,legitimate,none
EX_000000139,TX_000010164,2025-01-20T13:03:19,0,1.0400896750198697e-05,train,legitimate,none
EX_000000140,TX_000018845,2025-02-05T16:22:55,0,0.00038485712058954389,train,legitimate,none
EX_000000141,TX_000031628,2025-03-01T13:11:42,0,4.7133056976407124e-05,train,legitimate,none
EX_000000142,TX_000033873,2025-03-05T15:32:28,0,0.00015542259840750853,train,legitimate,none
EX_000000143,TX_000034459,2025-03-06T16:40:34,0,5.3634503156605643e-05,train,legitimate,none
EX_000000144,TX_000037199,2025-03-11T18:09:55,0,7.1097114851540036e-05,train,legitimate,none
EX_000000145,TX_000037609,2025-03-12T15:06:16,0,0.0001857939998782782,train,legitimate,none
EX_000000146,TX_000044634,2025-03-25T19:10:15,0,0.00023484440877713557,train,legitimate,none
EX_000000147,TX_000046599,2025-03-29T15:38:02,0,4.515082695721588e-05,train,legitimate,none
EX_000000148,TX_000048238,2025-04-01T16:21:26,0,3.8048223643020287e-05,train,legitimate,none
EX_000000149,TX_000049056,2025-04-03T08:48:24,0,0.00015745823059669953,train,legitimate,none
EX_000000150,TX_000049232,2025-04-03T14:52:47,0,4.8769570761367849e-05,train,legitimate,none
EX_000000151,TX_000049798,2025-04-04T16:12:10,0,1.7459759843145794e-05,train,legitimate,none
EX_000000152,TX_000053523,2025-04-11T16:48:10,0,1.0287069796555788e-05,train,legitimate,none
EX_000000153,TX_000055838,2025-04-15T21:54:46,0,3.2372904845711922e-05,train,legitimate,none
EX_000000154,TX_000056792,2025-04-17T17:52:08,0,4.2834837608217774e-05,train,legitimate,none
