example_id,transaction_id,target_timestamp,y_true,risk_score,split,fraud_type,hard_negative_type
EX_000000001,TX_000010080,2025-01-20T09:19:15,0,0.45515942573547363,train,legitimate,none
EX_000000002,TX_000010554,2025-01-21T02:59:06,0,0.0015464437892660499,train,legitimate,none
EX_000000003,TX_000013187,2025-01-25T19:16:23,0,0.00019385812629479915,train,legitimate,none
EX_000000004,TX_000013756,2025-01-26T21:43:47,0,0.0012929639779031277,train,legitimate,none
EX_000000005,TX_000019772,2025-02-07T13:21:51,0,0.026323698461055756,train,legitimate,none
EX_000000006,TX_000020581,2025-02-08T23:17:00,0,0.0681333988904953,train,legitimate,none
EX_000000007,TX_000021867,2025-02-11T12:28:08,0,0.00077281473204493523,train,legitimate,none
EX_000000008,TX_000025366,2025-02-17T16:24:03,0,0.00039099578862078488,train,legitimate,none
EX_000000009,TX_000026252,2025-02-19T11:36:26,0,0.45635777711868286,train,legitimate,none
EX_000000010,TX_000029382,2025-02-25T12:15:20,0,0.094301313161849976,train,legitimate,none
EX_000000011,TX_000031079,2025-02-28T12:33:22,0,0.031561505049467087,train,legitimate,none
EX_000000012,TX_000033910,2025-03-05T16:18:22,0,0.0024334951303899288,train,legitimate,none
EX_000000013,TX_000036042,2025-03-09T16:59:51,0,0.15778005123138428,train,legitimate,none
EX_000000014,TX_000050201,2025-04-05T13:21:17,0,0.29745960235595703,train,legitimate,none
EX_000000015,TX_000050784,2025-04-06T15:21:03,0,0.0047036441974341869,train,legitimate,none
EX_000000016,TX_000053989,2025-04-12T15:00:05,0,0.00063484505517408252,train,legitimate,none
EX_000000017,TX_000056410,2025-04-17T03:03:36,0,0.07826455682516098,train,legitimate,none
EX_000000018,TX_000060380,2025-04-24T16:01:42,0,0.00022014218848198652,train,legitimate,none
EX_000000019,TX_000060528,2025-04-24T20:15:50,0,0.012481391429901123,train,legitimate,none
EX_000000028,TX_000001076,2025-01-03T09:23:49,0,0.38322299718856812,train,legitimate,none
EX_000000029,TX_000001729,2025-01-04T13:11:12,0,0.017207784578204155,train,legitimate,none
EX_000000030,TX_000004364,2025-01-09T12:21:00,0,0.0001048746780725196,train,legitimate,none
EX_000000031,TX_000005231,2025-01-10T22:17:14,0,0.0023967011366039515,train,legitimate,none
EX_000000032,TX_000008795,2025-01-17T18:19:10,0,0.0065629994496703148,train,legitimate,none
EX_000000033,TX_000021242,2025-02-10T10:31:26,0,8.3277773228473961e-06,train,legitimate,none
EX_000000034,TX_000022755,2025-02-12T20:14:32,0,0.0037887876387685537,train,legitimate,none
EX_000000035,TX_000023330,2025-02-13T19:49:10,0,0.032907426357269287,train,legitimate,none
EX_000000036,TX_000023615,2025-02-14T13:33:25,0,0.012393977493047714,train,legitimate,none
EX_000000037,TX_000026716,2025-02-20T11:32:47,0,0.004786977544426918,train,legitimate,none
