example_id,transaction_id,target_timestamp,y_true,risk_score,split,fraud_type,hard_negative_type
EX_000000001,TX_000010080,2025-01-20T09:19:15,0,0.14566485583782196,train,legitimate,none
EX_000000002,TX_000010554,2025-01-21T02:59:06,0,0.0046899332664906979,train,legitimate,none
EX_000000003,TX_000013187,2025-01-25T19:16:23,0,4.9021920858649537e-05,train,legitimate,none
EX_000000004,TX_000013756,2025-01-26T21:43:47,0,0.00026821572100743651,train,legitimate,none
EX_000000005,TX_000019772,2025-02-07T13:21:51,0,0.0065507027320563793,train,legitimate,none
EX_000000006,TX_000020581,2025-02-08T23:17:00,0,0.0016252455534413457,train,legitimate,none
EX_000000007,TX_000021867,2025-02-11T12:28:08,0,0.00020227151981089264,train,legitimate,none
EX_000000008,TX_000025366,2025-02-17T16:24:03,0,1.2573410458571743e-05,train,legitimate,none
EX_000000009,TX_000026252,2025-02-19T11:36:26,0,0.027733311057090759,train,legitimate,none
EX_000000010,TX_000029382,2025-02-25T12:15:20,0,0.0011189369251951575,train,legitimate,none
EX_000000011,TX_000031079,2025-02-28T12:33:22,0,0.0010816791327670217,train,legitimate,none
EX_000000012,TX_000033910,2025-03-05T16:18:22,0,0.00044830812839791179,train,legitimate,none
EX_000000013,TX_000036042,2025-03-09T16:59:51,0,0.2505936324596405,train,legitimate,none
EX_000000014,TX_000050201,2025-04-05T13:21:17,0,0.28804382681846619,train,legitimate,none
EX_000000015,TX_000050784,2025-04-06T15:21:03,0,0.0013793375110253692,train,legitimate,none
EX_000000016,TX_000053989,2025-04-12T15:00:05,0,0.00022558275668416172,train,legitimate,none
EX_000000017,TX_000056410,2025-04-17T03:03:36,0,0.003098989836871624,train,legitimate,none
EX_000000018,TX_000060380,2025-04-24T16:01:42,0,8.0612786405254155e-05,train,legitimate,none
EX_000000019,TX_000060528,2025-04-24T20:15:50,0,0.0049004945904016495,train,legitimate,none
EX_000000028,TX_000001076,2025-01-03T09:23:49,0,0.029096873477101326,train,legitimate,none
EX_000000029,TX_000001729,2025-01-04T13:11:12,0,0.0022170024458318949,train,legitimate,none
EX_000000030,TX_000004364,2025-01-09T12:21:00,0,3.2541771361138672e-05,train,legitimate,none
EX_000000031,TX_000005231,2025-01-10T22:17:14,0,0.00020774379663635045,train,legitimate,none
EX_000000032,TX_000008795,2025-01-17T18:19:10,0,0.00049687095452100039,train,legitimate,none
EX_000000033,TX_000021242,2025-02-10T10:31:26,0,1.1885769026775961e-06,train,legitimate,none
EX_000000034,TX_000022755,2025-02-12T20:14:32,0,0.00012258875358384103,train,legitimate,none
EX_000000035,TX_000023330,2025-02-13T19:49:10,0,0.1630995124578476,train,legitimate,none
EX_000000036,TX_000023615,2025-02-14T13:33:25,0,0.032878309488296509,train,legitimate,none
EX_000000037,TX_000026716,2025-02-20T11:32:47,0,0.010839758440852165,train,legitimate,none
EX_000000038,TX_000027047,2025-02-20T20:21:22,0,0.025955947116017342,train,legitimate,none
EX_000000039,TX_000027829,2025-02-22T12:11:00,0,0.03721914067864418,train,legitimate,none
EX_000000040,TX_000028721,2025-02-24T05:54:45,0,4.6963537897681817e-05,train,legitimate,none
EX_000000041,TX_000030533,2025-02-27T13:57:02,0,0.0047028698027133942,train,legitimate,none
EX_000000042,TX_000037352,2025-03-11T23:59:59,0,0.00056119036162272096,train,legitimate,none
EX_000000043,TX_000037513,2025-03-12T13:06:55,0,0.0001506646367488429,train,legitimate,none
EX_000000044,TX_000038896,2025-03-14T21:52:49,0,5.6797147408360615e-05,train,legitimate,none
EX_000000045,TX_000043056,2025-03-22T18:04:00,0,0.013554279692471027,train,legitimate,none
EX_000000046,TX_000045164,2025-03-26T19:43:58,0,0.020293543115258217,train,legitimate,none
EX_000000047,TX_000045278,2025-03-27T02:18:17,0,0.011167500168085098,train,legitimate,none
EX_000000048,TX_000045422,2025-03-27T12:36:40,0,0.021212644875049591,train,legitimate,none
EX_000000049,TX_000046867,2025-03-30T00:51:02,0,0.0012276214547455311,train,legitimate,none
EX_000000050,TX_000047330,2025-03-30T21:20:29,0,0.052726451307535172,train,legitimate,none
