transaction_id,card_id,timestamp,amount,merchant_category,channel,distance_from_home_km,is_international,is_fraud,fraud_type,fraud_stage,customer_profile,hard_negative_type
TX_000000001,CARD_02732,2025-01-01T00:00:00,139.81,grocery,POS,7.3,0,0,legitimate,none,regular,none
TX_000000002,CARD_02363,2025-01-01T00:04:48,732.9,electronics,ONLINE,2.14,0,0,legitimate,none,online,none
TX_000000003,CARD_00868,2025-01-01T00:15:46,311.74,travel,POS,22.88,0,0,legitimate,none,variable,none
TX_000000004,CARD_01907,2025-01-01T00:21:44,200.15,pharmacy,CONTACTLESS,9.39,0,0,legitimate,none,online,none
TX_000000005,CARD_01215,2025-01-01T00:38:59,103.36,restaurant,POS,3215.0,1,0,legitimate,none,regular,none
TX_000000006,CARD_01087,2025-01-01T00:53:57,445.12,retail,POS,21.6,0,0,legitimate,none,variable,none
TX_000000007,CARD_01518,2025-01-01T00:56:59,26.0,restaurant,POS,90.2,0,0,legitimate,none,traveler,none
TX_000000008,CARD_01002,2025-01-01T00:57:32,26.63,restaurant,ONLINE,0.97,0,0,legitimate,none,online,none
TX_000000009,CARD_02127,2025-01-01T01:08:07,22.33,entertainment,CONTACTLESS,4.04,0,0,legitimate,none,regular,none
TX_000000010,CARD_01177,2025-01-01T01:12:25,387.33,travel,ONLINE,3.48,0,0,legitimate,none,online,none
TX_000000011,CARD_02511,2025-01-01T01:20:34,27.85,fuel,ONLINE,4.2,0,0,legitimate,none,online,none
TX_000000012,CARD_02356,2025-01-01T01:26:30,198.98,grocery,POS,49.48,0,0,legitimate,none,variable,none
TX_000000013,CARD_00088,2025-01-01T01:38:13,37.03,pharmacy,ONLINE,3.89,0,0,legitimate,none,online,none
TX_000000014,CARD_02133,2025-01-01T01:52:59,152.84,grocery,CONTACTLESS,275.28,0,0,legitimate,none,traveler,none
TX_000000015,CARD_02724,2025-01-01T01:59:01,115.67,grocery,CONTACTLESS,6.19,0,0,legitimate,none,online,none
TX_000000016,CARD_01812,2025-01-01T02:05:42,80.81,grocery,ONLINE,2.81,0,0,legitimate,none,online,none
TX_000000017,CARD_02256,2025-01-01T02:06:37,580.04,electronics,ONLINE,0.92,0,0,legitimate,none,online,none
TX_000000018,CARD_02140,2025-01-01T02:07:11,687.26,retail,ATM,58.29,0,0,legitimate,none,variable,none
TX_000000019,CARD_01707,2025-01-01T02:08:43,207.84,grocery,CONTACTLESS,7.39,0,0,legitimate,none,regular,none
TX_000000020,CARD_00900,2025-01-01T02:25:44,132.5,retail,ONLINE,1.79,0,0,legitimate,none,online,none
TX_000000021,CARD_00810,2025-01-01T02:38:30,297.17,entertainment,POS,115.86,0,0,legitimate,none,traveler,none
TX_000000022,CARD_02337,2025-01-01T03:06:23,483.16,grocery,CONTACTLESS,53.05,0,0,legitimate,none,variable,none
TX_000000023,CARD_01985,2025-01-01T03:20:28,243.65,pharmacy,ONLINE,6.54,0,0,legitimate,none,high_spend,none
TX_000000024,CARD_02633,2025-01-01T03:52:48,1067.82,electronics,POS,242.03,0,0,legitimate,none,traveler,none
TX_000000025,CARD_01812,2025-01-01T04:00:48,231.63,travel,ATM,6.96,0,0,legitimate,none,online,none
TX_000000026,CARD_02074,2025-01-01T04:13:10,205.75,entertainment,CONTACTLESS,30.34,0,0,legitimate,none,variable,none
TX_000000027,CARD_01610,2025-01-01T04:23:46,458.43,travel,ONLINE,1.85,0,0,legitimate,none,online,none
TX_000000028,CARD_02361,2025-01-01T04:35:03,68.62,pharmacy,CONTACTLESS,66.58,0,0,legitimate,none,variable,none
TX_000000029,CARD_00700,2025-01-01T04:52:51,71.44,grocery,ATM,24.06,0,0,legitimate,none,regular,none
TX_000000030,CARD_01959,2025-01-01T05:20:39,410.17,electronics,CONTACTLESS,38.96,0,0,legitimate,none,variable,none
TX_000000031,CARD_01580,2025-01-01T05:31:17,69.22,restaurant,POS,10.6,0,0,legitimate,none,variable,none
TX_000000032,CARD_01588,2025-01-01T05:55:14,28.14,services,ONLINE,0.55,0,0,legitimate,none,online,none
TX_000000033,CARD_01915,2025-01-01T05:58:52,56.65,grocery,ONLINE,3.35,0,0,legitimate,none,regular,none
TX_000000034,CARD_00386,2025-01-01T06:05:42,1000.51,grocery,ONLINE,61.17,0,0,legitimate,none,traveler,none
TX_000000035,CARD_00087,2025-01-01T06:09:32,76.34,grocery,ONLINE,9.73,0,0,legitimate,none,variable,none
TX_000000036,CARD_01632,2025-01-01T06:12:13,201.99,travel,ONLINE,11.68,0,0,legitimate,none,variable,none
