example_id,transaction_id,card_id,target_timestamp,target,split,fraud_type,hard_negative_type,history_length_total,history_length_real
EX_000000001,TX_000010080,CARD_00001,2025-01-20T09:19:15,0,train,legitimate,none,1,1
EX_000000002,TX_000010554,CARD_00001,2025-01-21T02:59:06,0,train,legitimate,none,2,2
EX_000000003,TX_000013187,CARD_00001,2025-01-25T19:16:23,0,train,legitimate,none,3,3
EX_000000004,TX_000013756,CARD_00001,2025-01-26T21:43:47,0,train,legitimate,none,4,4
EX_000000005,TX_000019772,CARD_00001,2025-02-07T13:21:51,0,train,legitimate,none,5,5
EX_000000006,TX_000020581,CARD_00001,2025-02-08T23:17:00,0,train,legitimate,none,6,6
EX_000000007,TX_000021867,CARD_00001,2025-02-11T12:28:08,0,train,legitimate,none,7,7
EX_000000008,TX_000025366,CARD_00001,2025-02-17T16:24:03,0,train,legitimate,none,8,8
EX_000000009,TX_000026252,CARD_00001,2025-02-19T11:36:26,0,train,legitimate,none,9,9
EX_000000010,TX_000029382,CARD_00001,2025-02-25T12:15:20,0,train,legitimate,none,10,10
EX_000000011,TX_000031079,CARD_00001,2025-02-28T12:33:22,0,train,legitimate,none,11,11
EX_000000012,TX_000033910,CARD_00001,2025-03-05T16:18:22,0,train,legitimate,none,12,12
EX_000000013,TX_000036042,CARD_00001,2025-03-09T16:59:51,0,train,legitimate,none,13,12
EX_000000014,TX_000050201,CARD_00001,2025-04-05T13:21:17,0,train,legitimate,none,14,12
EX_000000015,TX_000050784,CARD_00001,2025-04-06T15:21:03,0,train,legitimate,none,15,12
EX_000000016,TX_000053989,CARD_00001,2025-04-12T15:00:05,0,train,legitimate,none,16,12
EX_000000017,TX_000056410,CARD_00001,2025-04-17T03:03:36,0,train,legitimate,none,17,12
EX_000000018,TX_000060380,CARD_00001,2025-04-24T16:01:42,0,train,legitimate,none,18,12
EX_000000019,TX_000060528,CARD_00001,2025-04-24T20:15:50,0,train,legitimate,none,19,12
EX_000000020,TX_000069352,CARD_00001,2025-05-11T13:21:30,0,validation,legitimate,none,20,12
EX_000000021,TX_000071612,CARD_00001,2025-05-15T16:17:34,0,validation,legitimate,none,21,12
EX_000000022,TX_000071797,CARD_00001,2025-05-15T21:23:14,0,validation,legitimate,none,22,12
EX_000000023,TX_000075634,CARD_00001,2025-05-23T08:55:35,0,validation,legitimate,none,23,12
EX_000000024,TX_000076313,CARD_00001,2025-05-24T15:09:20,0,validation,legitimate,none,24,12
EX_000000025,TX_000084514,CARD_00001,2025-06-08T21:37:59,0,test,legitimate,none,25,12
EX_000000026,TX_000087617,CARD_00001,2025-06-14T18:36:53,0,test,legitimate,none,26,12
EX_000000027,TX_000093699,CARD_00001,2025-06-26T00:49:00,0,test,legitimate,none,27,12
EX_000000028,TX_000001076,CARD_00002,2025-01-03T09:23:49,0,train,legitimate,none,1,1
EX_000000029,TX_000001729,CARD_00002,2025-01-04T13:11:12,0,train,legitimate,none,2,2
EX_000000030,TX_000004364,CARD_00002,2025-01-09T12:21:00,0,train,legitimate,none,3,3
EX_000000031,TX_000005231,CARD_00002,2025-01-10T22:17:14,0,train,legitimate,none,4,4
EX_000000032,TX_000008795,CARD_00002,2025-01-17T18:19:10,0,train,legitimate,none,5,5
EX_000000033,TX_000021242,CARD_00002,2025-02-10T10:31:26,0,train,legitimate,none,6,6
EX_000000034,TX_000022755,CARD_00002,2025-02-12T20:14:32,0,train,legitimate,none,7,7
EX_000000035,TX_000023330,CARD_00002,2025-02-13T19:49:10,0,train,legitimate,none,8,8
EX_000000036,TX_000023615,CARD_00002,2025-02-14T13:33:25,0,train,legitimate,none,9,9
EX_000000037,TX_000026716,CARD_00002,2025-02-20T11:32:47,0,train,legitimate,none,10,10
EX_000000038,TX_000027047,CARD_00002,2025-02-20T20:21:22,0,train,legitimate,none,11,11
EX_000000039,TX_000027829,CARD_00002,2025-02-22T12:11:00,0,train,legitimate,none,12,12
EX_000000040,TX_000028721,CARD_00002,2025-02-24T05:54:45,0,train,legitimate,none,13,12
EX_000000041,TX_000030533,CARD_00002,2025-02-27T13:57:02,0,train,legitimate,none,14,12
EX_000000042,TX_000037352,CARD_00002,2025-03-11T23:59:59,0,train,legitimate,none,15,12
EX_000000043,TX_000037513,CARD_00002,2025-03-12T13:06:55,0,train,legitimate,none,16,12
EX_000000044,TX_000038896,CARD_00002,2025-03-14T21:52:49,0,train,legitimate,none,17,12
EX_000000045,TX_000043056,CARD_00002,2025-03-22T18:04:00,0,train,legitimate,none,18,12
EX_000000046,TX_000045164,CARD_00002,2025-03-26T19:43:58,0,train,legitimate,none,19,12
EX_000000047,TX_000045278,CARD_00002,2025-03-27T02:18:17,0,train,legitimate,none,20,12
EX_000000048,TX_000045422,CARD_00002,2025-03-27T12:36:40,0,train,legitimate,none,21,12
EX_000000049,TX_000046867,CARD_00002,2025-03-30T00:51:02,0,train,legitimate,none,22,12
EX_000000050,TX_000047330,CARD_00002,2025-03-30T21:20:29,0,train,legitimate,none,23,12
EX_000000051,TX_000051259,CARD_00002,2025-04-07T13:26:06,0,train,legitimate,none,24,12
EX_000000052,TX_000052867,CARD_00002,2025-04-10T13:38:24,0,train,legitimate,none,25,12
EX_000000053,TX_000054697,CARD_00002,2025-04-13T19:47:46,0,train,legitimate,none,26,12
