condition,seed,validation_ap,difference_vs_original
B original,,0.7206737920131868,0
B permuted,100,0.25531564875577856,-0.46535814325740826
B permuted,101,0.2806551929592765,-0.44001859905391033
B permuted,102,0.2849611704622187,-0.4357126215509681
B permuted,103,0.2780591033512292,-0.44261468866195763
B permuted,104,0.26331802277070504,-0.4573557692424818
B permuted,105,0.32619698330023017,-0.39447680871295665
B permuted,106,0.2691887482136037,-0.4514850437995831
B permuted,107,0.27896559843866403,-0.4417081935745228
B permuted,108,0.3039338048486264,-0.4167399871645604
B permuted,109,0.3026572167469341,-0.41801657526625274
B short history,,0.7108234251071578,-0.009850366906029029
